SAMPLE_ID,POSITION,TICKER,WEIGHT,SAMPLING_SEED,SAMPLING_DESIGN
6,1,ADBE,0.02,42,balanced_low_overlap
6,2,ADM,0.02,42,balanced_low_overlap
6,3,AFL,0.02,42,balanced_low_overlap
6,4,ALL,0.02,42,balanced_low_overlap
6,5,AMAT,0.02,42,balanced_low_overlap
6,6,AXP,0.02,42,balanced_low_overlap
6,7,BAC,0.02,42,balanced_low_overlap
6,8,BK,0.02,42,balanced_low_overlap
6,9,C,0.02,42,balanced_low_overlap
6,10,CI,0.02,42,balanced_low_overlap
6,11,CINF,0.02,42,balanced_low_overlap
6,12,CMA,0.02,42,balanced_low_overlap
6,13,COF,0.02,42,balanced_low_overlap
6,14,DUK,0.02,42,balanced_low_overlap
6,15,EFX,0.02,42,balanced_low_overlap
6,16,ETR,0.02,42,balanced_low_overlap
6,17,FDX,0.02,42,balanced_low_overlap
6,18,FE,0.02,42,balanced_low_overlap
6,19,GE,0.02,42,balanced_low_overlap
6,20,HBAN,0.02,42,balanced_low_overlap
6,21,HUM,0.02,42,balanced_low_overlap
6,22,IFF,0.02,42,balanced_low_overlap
6,23,JNJ,0.02,42,balanced_low_overlap
6,24,JPM,0.02,42,balanced_low_overlap
6,25,KO,0.02,42,balanced_low_overlap
6,26,KR,0.02,42,balanced_low_overlap
6,27,MS,0.02,42,balanced_low_overlap
6,28,MSFT,0.02,42,balanced_low_overlap
6,29,MSI,0.02,42,balanced_low_overlap
6,30,NSC,0.02,42,balanced_low_overlap
6,31,NTAP,0.02,42,balanced_low_overlap
6,32,NTRS,0.02,42,balanced_low_overlap
6,33,NUE,0.02,42,balanced_low_overlap
6,34,OXY,0.02,42,balanced_low_overlap
6,35,PCAR,0.02,42,balanced_low_overlap
6,36,PCG,0.02,42,balanced_low_overlap
6,37,PEG,0.02,42,balanced_low_overlap
6,38,PPL,0.02,42,balanced_low_overlap
6,39,RVTY,0.02,42,balanced_low_overlap
6,40,SCHW,0.02,42,balanced_low_overlap
6,41,SO,0.02,42,balanced_low_overlap
6,42,STT,0.02,42,balanced_low_overlap
6,43,TJX,0.02,42,balanced_low_overlap
6,44,UNH,0.02,42,balanced_low_overlap
6,45,VFC,0.02,42,balanced_low_overlap
6,46,WHR,0.02,42,balanced_low_overlap
6,47,WM,0.02,42,balanced_low_overlap
6,48,WY,0.02,42,balanced_low_overlap
6,49,XOM,0.02,42,balanced_low_overlap
6,50,YUM,0.02,42,balanced_low_overlap
