MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,SPLIT,SPLIT_START,SPLIT_END,N_STATES,STATE_LAG,EXOG_LAG,TRAIN_ROWS,EVAL_ROWS
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,0,0,2318,1890
dynamic_duration_logit,0.6223263490417831,0.8137566137566138,0.322099461979757,validation,2009-06-02,2016-12-30,4,0,0,2318,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,0,0,2318,1730
dynamic_duration_logit,0.49717185476900133,0.8716763005780347,0.2272247417344117,prediction,2017-01-03,2023-12-05,4,0,0,2318,1730
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,0,1,2317,1890
dynamic_duration_logit,0.6318124015984934,0.8142857142857143,0.32029301956847317,validation,2009-06-02,2016-12-30,4,0,1,2317,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,0,1,2317,1730
dynamic_duration_logit,0.5141362250906426,0.8710982658959537,0.22983702241983947,prediction,2017-01-03,2023-12-05,4,0,1,2317,1730
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,0,2,2316,1890
dynamic_duration_logit,0.6464820684215906,0.8137566137566138,0.3212443126830074,validation,2009-06-02,2016-12-30,4,0,2,2316,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,0,2,2316,1730
dynamic_duration_logit,0.5424455162843289,0.86878612716763,0.23439179541627825,prediction,2017-01-03,2023-12-05,4,0,2,2316,1730
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,1,0,2318,1890
dynamic_duration_logit,0.6223263490417831,0.8137566137566138,0.322099461979757,validation,2009-06-02,2016-12-30,4,1,0,2318,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,1,0,2318,1730
dynamic_duration_logit,0.49717185476900133,0.8716763005780347,0.2272247417344117,prediction,2017-01-03,2023-12-05,4,1,0,2318,1730
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,1,1,2317,1890
dynamic_duration_logit,0.6318124015984854,0.8142857142857143,0.3202930195684729,validation,2009-06-02,2016-12-30,4,1,1,2317,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,1,1,2317,1730
dynamic_duration_logit,0.5141362250906341,0.8710982658959537,0.22983702241983975,prediction,2017-01-03,2023-12-05,4,1,1,2317,1730
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,1,2,2316,1890
dynamic_duration_logit,0.6464820684215906,0.8137566137566138,0.3212443126830074,validation,2009-06-02,2016-12-30,4,1,2,2316,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,1,2,2316,1730
dynamic_duration_logit,0.5424455162843289,0.86878612716763,0.23439179541627825,prediction,2017-01-03,2023-12-05,4,1,2,2316,1730
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,2,0,2318,1890
dynamic_duration_logit,0.6223263490417831,0.8137566137566138,0.322099461979757,validation,2009-06-02,2016-12-30,4,2,0,2318,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,2,0,2318,1730
dynamic_duration_logit,0.49717185476900133,0.8716763005780347,0.2272247417344117,prediction,2017-01-03,2023-12-05,4,2,0,2318,1730
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,2,1,2317,1890
dynamic_duration_logit,0.6318124015984934,0.8142857142857143,0.32029301956847317,validation,2009-06-02,2016-12-30,4,2,1,2317,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,2,1,2317,1730
dynamic_duration_logit,0.5141362250906426,0.8710982658959537,0.22983702241983947,prediction,2017-01-03,2023-12-05,4,2,1,2317,1730
fixed_hmm_transition,0.9028651593001881,0.8148148148148148,0.32354609399375667,validation,2009-06-02,2016-12-30,4,2,2,2316,1890
dynamic_duration_logit,0.6464820684215906,0.8137566137566138,0.3212443126830074,validation,2009-06-02,2016-12-30,4,2,2,2316,1890
fixed_hmm_transition,0.7519994776664469,0.8739884393063584,0.2263067978055491,prediction,2017-01-03,2023-12-05,4,2,2,2316,1730
dynamic_duration_logit,0.5424455162843289,0.86878612716763,0.23439179541627825,prediction,2017-01-03,2023-12-05,4,2,2,2316,1730
