N_STATES,FROM_STATE,TO_STATE,OBSERVED_PREDICTION,FIXED_HMM,DYNAMIC_AVERAGE,DYNAMIC_MINUS_FIXED
1,0,0,1.0,1.0,,
2,0,0,0.8841463414634146,0.93975,0.9440275192221013,0.004277519222101289
2,0,1,0.11585365853658537,0.06025,0.055972480777897855,-0.004277519222102143
2,1,0,0.02710413694721826,0.01025,0.008348106786477034,-0.0019018932135229667
2,1,1,0.9728958630527818,0.98975,0.9916518932135231,0.001901893213523076
4,0,0,0.7971602434077079,0.88071,0.8818346514542242,0.0011246514542242458
4,0,1,0.1643002028397566,0.11117,0.10720990948121596,-0.003960090518784043
4,0,2,0.006085192697768763,0.00681,0.009594615706477023,0.0027846157064770234
4,0,3,0.032454361054766734,0.00131,0.0013608233580827652,5.082335808276523e-05
4,1,0,0.07515473032714412,0.06056,0.051835866450903316,-0.008724133549096687
4,1,1,0.9221927497789567,0.93944,0.9476797421769992,0.008239742176999187
4,1,2,0.0,0.0,0.00028220772570804653,0.00028220772570804653
4,1,3,0.002652519893899204,0.0,0.00020218364638846566,0.00020218364638846566
4,2,0,0.1111111111111111,0.09878,0.15741081484558078,0.058630814845580775
4,2,1,0.0,0.0,0.0041816521391843005,0.0041816521391843005
4,2,2,0.7407407407407407,0.84771,0.7324209305829963,-0.11528906941700368
4,2,3,0.14814814814814814,0.05351,0.10598660243223851,0.052476602432238506
4,3,0,0.16455696202531644,0.0,0.00777651888440305,0.00777651888440305
4,3,1,0.0759493670886076,0.00708,0.03827088821272962,0.031190888212729622
4,3,2,0.05063291139240506,0.00823,0.02097806457860048,0.012748064578600482
4,3,3,0.7088607594936709,0.98469,0.932974528324267,-0.05171547167573298
