MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,SPLIT,SPLIT_START,SPLIT_END,N_STATES,STATE_LAG,EXOG_LAG,TRAIN_ROWS,EVAL_ROWS
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,0,0,2318,1890
dynamic_duration_logit,0.6341382628695776,0.8195767195767196,0.3223599742056674,validation,2009-06-02,2016-12-30,4,0,0,2318,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,0,0,2318,1730
dynamic_duration_logit,0.46065933628422556,0.8803468208092485,0.2162064278884237,prediction,2017-01-03,2023-12-05,4,0,0,2318,1730
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,0,1,2317,1890
dynamic_duration_logit,0.645159262874392,0.819047619047619,0.32366175603017333,validation,2009-06-02,2016-12-30,4,0,1,2317,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,0,1,2317,1730
dynamic_duration_logit,0.4653313755933224,0.8803468208092485,0.21579404078782222,prediction,2017-01-03,2023-12-05,4,0,1,2317,1730
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,0,2,2316,1890
dynamic_duration_logit,0.669455041264051,0.816931216931217,0.3283946037523619,validation,2009-06-02,2016-12-30,4,0,2,2316,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,0,2,2316,1730
dynamic_duration_logit,0.499120671025044,0.876878612716763,0.2197508489344912,prediction,2017-01-03,2023-12-05,4,0,2,2316,1730
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,1,0,2318,1890
dynamic_duration_logit,0.6341382628696061,0.8195767195767196,0.3223599742056741,validation,2009-06-02,2016-12-30,4,1,0,2318,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,1,0,2318,1730
dynamic_duration_logit,0.46065933628424316,0.8803468208092485,0.21620642788842576,prediction,2017-01-03,2023-12-05,4,1,0,2318,1730
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,1,1,2317,1890
dynamic_duration_logit,0.6451592628743984,0.819047619047619,0.32366175603017455,validation,2009-06-02,2016-12-30,4,1,1,2317,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,1,1,2317,1730
dynamic_duration_logit,0.4653313755933257,0.8803468208092485,0.215794040787822,prediction,2017-01-03,2023-12-05,4,1,1,2317,1730
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,1,2,2316,1890
dynamic_duration_logit,0.6694550412640523,0.816931216931217,0.32839460375236196,validation,2009-06-02,2016-12-30,4,1,2,2316,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,1,2,2316,1730
dynamic_duration_logit,0.49912067102504476,0.876878612716763,0.21975084893449126,prediction,2017-01-03,2023-12-05,4,1,2,2316,1730
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,2,0,2318,1890
dynamic_duration_logit,0.6341382628695945,0.8195767195767196,0.322359974205671,validation,2009-06-02,2016-12-30,4,2,0,2318,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,2,0,2318,1730
dynamic_duration_logit,0.4606593362842362,0.8803468208092485,0.21620642788842515,prediction,2017-01-03,2023-12-05,4,2,0,2318,1730
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,2,1,2317,1890
dynamic_duration_logit,0.6451592628744033,0.819047619047619,0.3236617560301755,validation,2009-06-02,2016-12-30,4,2,1,2317,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,2,1,2317,1730
dynamic_duration_logit,0.465331375593328,0.8803468208092485,0.21579404078782172,prediction,2017-01-03,2023-12-05,4,2,1,2317,1730
fixed_hmm_transition,0.6656176339169942,0.8195767195767196,0.3238158807391534,validation,2009-06-02,2016-12-30,4,2,2,2316,1890
dynamic_duration_logit,0.6694550412640544,0.816931216931217,0.328394603752362,validation,2009-06-02,2016-12-30,4,2,2,2316,1890
fixed_hmm_transition,0.43911637685019245,0.8855491329479769,0.2082697788850867,prediction,2017-01-03,2023-12-05,4,2,2,2316,1730
dynamic_duration_logit,0.4991206710250456,0.876878612716763,0.2197508489344914,prediction,2017-01-03,2023-12-05,4,2,2,2316,1730
