N_STATES,SEED,TRAIN_LOG_LIKELIHOOD,AIC,BIC,CONVERGED,ALL_STATES_USED,MIN_REGIME_COUNT,VALID_FOR_SELECTION,ERROR
2,864178257,-14964.010488086744,30042.020976173488,30369.68319753577,True,True,502,True,
2,1102145656,-14964.010487072708,30042.020974145416,30369.6831955077,True,True,502,True,
2,967196422,-14964.010482598635,30042.02096519727,30369.683186559552,True,True,502,True,
2,191664959,-14964.010485275756,30042.02097055151,30369.683191913795,True,True,502,True,
2,1671565830,-14964.01048373352,30042.02096746704,30369.683188829324,True,True,502,True,
2,2084558129,-14964.010485667488,30042.020971334976,30369.68319269726,True,True,502,True,
2,1382689800,-14964.010484626215,30042.02096925243,30369.683190614713,True,True,502,True,
2,1504361609,-14964.010486552668,30042.020973105336,30369.68319446762,True,True,502,True,
2,594336914,-14964.01048568214,30042.02097136428,30369.683192726563,True,True,502,True,
2,957106588,-14964.010485977444,30042.020971954888,30369.68319331717,True,True,502,True,
2,761338716,-14964.010486190422,30042.020972380844,30369.683193743127,True,True,502,True,
2,1455819990,-14964.010486259342,30042.020972518683,30369.683193880966,True,True,502,True,
2,929893118,-14964.010486444238,30042.020972888477,30369.68319425076,True,True,502,True,
2,145857092,-14964.010483776729,30042.020967553457,30369.68318891574,True,True,502,True,
2,1688060213,-14964.010483704089,30042.020967408178,30369.68318877046,True,True,502,True,
2,1130604976,-14964.010487034187,30042.020974068375,30369.683195430658,True,True,502,True,
2,1074497541,-14964.010482455004,30042.020964910007,30369.68318627229,True,True,502,True,
2,1627981018,-14964.010486396008,30042.020972792016,30369.6831941543,True,True,502,True,
2,432652525,-14964.010486247653,30042.020972495306,30369.68319385759,True,True,502,True,
2,1803345564,-14964.010487296293,30042.020974592586,30369.68319595487,True,True,502,True,
2,1190961752,-14964.010485991386,30042.020971982773,30369.683193345056,True,True,502,True,
2,1766867091,-14964.010485148623,30042.020970297246,30369.68319165953,True,True,502,True,
2,354826744,-14964.010483506265,30042.02096701253,30369.683188374813,True,True,502,True,
2,1497586409,-14964.010487863035,30042.02097572607,30369.683197088354,True,True,502,True,
2,1906728905,-14964.010483323927,30042.020966647855,30369.683188010138,True,True,502,True,
2,1917963000,-14964.010486180452,30042.020972360904,30369.683193723187,True,True,502,True,
2,942484251,-14964.01048389879,30042.02096779758,30369.683189159863,True,True,502,True,
2,197860367,-14964.010485495864,30042.02097099173,30369.683192354012,True,True,502,True,
2,1843824954,-14964.01048535047,30042.02097070094,30369.683192063225,True,True,502,True,
2,1990212633,-14964.010485508677,30042.020971017355,30369.683192379638,True,True,502,True,
2,1356488961,-14964.010485133056,30042.020970266112,30369.683191628395,True,True,502,True,
2,1405681601,-14964.010485807226,30042.020971614453,30369.683192976736,True,True,502,True,
2,1580016156,-14964.010483225313,30042.020966450626,30369.68318781291,True,True,502,True,
2,967354515,-14964.010486702862,30042.020973405724,30369.683194768008,True,True,502,True,
2,2095133008,-14964.010485401364,30042.02097080273,30369.683192165012,True,True,502,True,
2,1540770694,-14964.010483377746,30042.020966755492,30369.683188117775,True,True,502,True,
2,137046512,-14964.010485034554,30042.02097006911,30369.68319143139,True,True,502,True,
2,1634535035,-14964.010486175071,30042.020972350143,30369.683193712426,True,True,502,True,
2,952224731,-14964.010484527289,30042.020969054578,30369.68319041686,True,True,502,True,
2,1843166506,-14964.01048591209,30042.02097182418,30369.68319318646,True,True,502,True,
2,1171300101,-14964.010486334017,30042.020972668033,30369.683194030316,True,True,502,True,
2,487991434,-14964.010486201725,30042.02097240345,30369.683193765733,True,True,502,True,
2,184566850,-14964.010485434164,30042.02097086833,30369.683192230612,True,True,502,True,
2,1678403310,-14964.010486039768,30042.020972079536,30369.68319344182,True,True,502,True,
2,1662057920,-14964.010486058465,30042.02097211693,30369.683193479214,True,True,502,True,
2,392022354,-14964.010485900182,30042.020971800364,30369.683193162648,True,True,502,True,
2,796282682,-14964.010487996327,30042.020975992655,30369.683197354938,True,True,502,True,
2,275121926,-14964.010486522277,30042.020973044553,30369.683194406836,True,True,502,True,
2,202244310,-14964.010487395935,30042.02097479187,30369.683196154154,True,True,502,True,
2,1777324397,-14964.010488003598,30042.020976007196,30369.68319736948,True,True,502,True,
3,864178257,-14338.262709352106,28854.525418704212,29366.138360831286,True,True,220,True,
3,1102145656,-14338.239300181867,28854.478600363735,29366.09154249081,True,True,224,True,
3,967196422,-14338.23930353242,28854.47860706484,29366.091549191915,True,True,224,True,
3,191664959,-14338.262710631783,28854.525421263566,29366.13836339064,True,True,220,True,
3,1671565830,-14338.23930078186,28854.47860156372,29366.091543690793,True,True,224,True,
3,2084558129,-14338.262710054512,28854.525420109025,29366.1383622361,True,True,220,True,
3,1382689800,-14338.262710781471,28854.525421562943,29366.138363690017,True,True,220,True,
3,1504361609,-14338.262712466723,28854.525424933447,29366.13836706052,True,True,220,True,
3,594336914,-14338.262709685248,28854.525419370497,29366.13836149757,True,True,220,True,
3,957106588,-14338.262709224617,28854.525418449233,29366.138360576308,True,True,220,True,
3,761338716,-14338.262711515496,28854.52542303099,29366.138365158065,True,True,220,True,
3,1455819990,-14338.23930260782,28854.47860521564,29366.091547342716,True,True,224,True,
3,929893118,-14338.262712042178,28854.525424084357,29366.13836621143,True,True,220,True,
3,145857092,-14338.239300611911,28854.478601223822,29366.091543350896,True,True,224,True,
3,1688060213,-14338.239303657268,28854.478607314537,29366.09154944161,True,True,224,True,
3,1130604976,-14338.262710630104,28854.52542126021,29366.138363387283,True,True,220,True,
3,1074497541,-14338.239299786796,28854.47859957359,29366.091541700665,True,True,224,True,
