N_STATES,REGIME,ORIGINAL_STATE,REGIME_ORDERING,FEATURE,N_OBSERVATIONS,JARQUE_BERA_STATISTIC,JARQUE_BERA_P_VALUE,RELIABLE_FOR_5_PERCENT_DECISION,NORMAL_AT_5_PERCENT,BONFERRONI_ALPHA_WITHIN_REGIME,NORMAL_AFTER_BONFERRONI_AT_5_PERCENT,NULL_HYPOTHESIS
2,0,1,ascending training-sample SPXT mean,SPXT,502,60.42809966723114,7.554485314846754e-14,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,0,1,ascending training-sample SPXT mean,DBLCIX,502,44.788763245516655,1.8803713937192652e-10,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,0,1,ascending training-sample SPXT mean,IBOXIG,502,216.44207750532368,1.000460724159098e-47,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,0,1,ascending training-sample SPXT mean,JPEICORE,502,1779.254757403044,0.0,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,0,1,ascending training-sample SPXT mean,LT11TRUU,502,11.106672672888756,0.0038745089900743507,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,0,1,ascending training-sample SPXT mean,LBUTTRUU,502,256.02796659499745,2.53649171109484e-56,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,1,0,ascending training-sample SPXT mean,SPXT,1816,55.754779634537826,7.81633982294074e-13,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,1,0,ascending training-sample SPXT mean,DBLCIX,1816,11.10210766278823,0.0038833626768600385,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,1,0,ascending training-sample SPXT mean,IBOXIG,1816,71.84444540712728,2.5071302800534808e-16,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,1,0,ascending training-sample SPXT mean,JPEICORE,1816,79.8147834404336,4.660580231929558e-18,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
2,1,0,ascending training-sample SPXT mean,LT11TRUU,1816,37.450295543374665,7.375163454181132e-09,True,False,0.008333333333333333,False,regime-conditional feature values are normally distributed
