N_STATES,SEED,LL,AIC,BIC,MIN_COUNT,CONVERGED,VALID
2,0,15244.06,-30462.13,-30387.4,319,True,True
2,414,15242.5,-30458.99,-30384.26,304,True,True
2,514,15240.92,-30455.84,-30381.11,332,True,True
2,564,15244.37,-30462.74,-30388.01,334,True,True
2,640,15243.55,-30461.1,-30386.37,312,True,True
2,821,15242.96,-30459.92,-30385.19,311,True,True
2,925,15243.54,-30461.08,-30386.35,312,True,True
2,985,15242.5,-30458.99,-30384.26,304,True,True
2,989,15242.5,-30458.99,-30384.26,304,True,True
2,1059,15242.5,-30458.99,-30384.26,304,True,True
2,1222,15243.29,-30460.58,-30385.85,311,True,True
2,1237,15243.56,-30461.12,-30386.39,312,True,True
2,1346,15243.7,-30461.39,-30386.66,315,True,True
2,1521,15241.44,-30456.88,-30382.15,332,True,True
2,1538,15242.5,-30458.99,-30384.26,304,True,True
2,1629,15242.5,-30458.99,-30384.26,304,True,True
2,1646,15244.65,-30463.29,-30388.56,334,True,True
2,1648,15242.5,-30458.99,-30384.26,304,True,True
2,1925,15242.65,-30459.29,-30384.56,304,True,True
2,2232,15243.36,-30460.71,-30385.98,312,True,True
2,2290,15244.27,-30462.54,-30387.81,334,True,True
2,2379,15242.62,-30459.24,-30384.51,304,True,True
2,2470,15242.5,-30458.99,-30384.26,304,True,True
2,2694,15243.89,-30461.78,-30387.05,319,True,True
2,3004,15244.48,-30462.97,-30388.24,334,True,True
2,3052,15244.0,-30462.0,-30387.27,319,True,True
2,3056,15242.5,-30458.99,-30384.26,304,True,True
2,3127,15242.5,-30458.99,-30384.26,304,True,True
2,3131,15242.5,-30459.01,-30384.28,304,True,True
2,3218,15242.5,-30458.99,-30384.26,304,True,True
2,3603,15242.6,-30459.21,-30384.48,304,True,True
2,3622,15242.5,-30458.99,-30384.26,304,True,True
2,3875,15243.08,-30460.16,-30385.43,311,True,True
2,3974,15242.5,-30458.99,-30384.26,304,True,True
2,3992,15243.98,-30461.96,-30387.23,319,True,True
2,4190,15242.29,-30458.58,-30383.85,319,True,True
2,4276,15241.06,-30456.12,-30381.39,335,True,True
2,4339,15243.81,-30461.61,-30386.88,319,True,True
2,4347,15242.5,-30458.99,-30384.26,304,True,True
2,4398,15243.69,-30461.39,-30386.66,312,True,True
2,4434,15242.66,-30459.32,-30384.59,304,True,True
2,4460,15242.5,-30458.99,-30384.26,304,True,True
2,4549,15242.5,-30458.99,-30384.26,304,True,True
2,4584,15243.31,-30460.62,-30385.89,311,True,True
2,4653,15242.55,-30459.09,-30384.36,304,True,True
2,4671,15242.5,-30458.99,-30384.26,304,True,True
2,4701,15243.62,-30461.25,-30386.52,315,True,True
