N_STATES,SPLIT,MODEL,STATE,BIN,BIN_LEFT,BIN_RIGHT,COUNT,MEAN_PREDICTED_PROBABILITY,OBSERVED_FREQUENCY
2,validation,hard_state_fixed_transition,0,1,0.0,0.1,303,0.059,0.1551155115511551
2,validation,hard_state_fixed_transition,0,10,0.9,1.0,1587,0.98559,0.9710144927536232
2,validation,hard_state_fixed_transition,1,1,0.0,0.1,1587,0.014410000000000001,0.028985507246376812
2,validation,hard_state_fixed_transition,1,10,0.9,1.0,303,0.9410000000000002,0.8448844884488449
2,validation,soft_posterior_fixed_transition,0,1,0.0,0.1,92,0.07018557197618432,0.0
2,validation,soft_posterior_fixed_transition,0,2,0.1,0.2,55,0.15007595349185893,0.0
2,validation,soft_posterior_fixed_transition,0,3,0.2,0.30000000000000004,47,0.24899070156820513,0.14893617021276595
2,validation,soft_posterior_fixed_transition,0,4,0.30000000000000004,0.4,35,0.349915478037255,0.4
2,validation,soft_posterior_fixed_transition,0,5,0.4,0.5,44,0.44627275820043183,0.4090909090909091
2,validation,soft_posterior_fixed_transition,0,6,0.5,0.6000000000000001,37,0.5565233219715073,0.6756756756756757
2,validation,soft_posterior_fixed_transition,0,7,0.6000000000000001,0.7000000000000001,55,0.653898446437898,0.7272727272727273
2,validation,soft_posterior_fixed_transition,0,8,0.7000000000000001,0.8,59,0.756727854263454,0.8305084745762712
2,validation,soft_posterior_fixed_transition,0,9,0.8,0.9,108,0.8535900185832005,0.9166666666666666
2,validation,soft_posterior_fixed_transition,0,10,0.9,1.0,1358,0.9699800041798671,0.9837997054491899
2,validation,soft_posterior_fixed_transition,1,1,0.0,0.1,1358,0.030019995820132768,0.016200294550810016
2,validation,soft_posterior_fixed_transition,1,2,0.1,0.2,108,0.14640998141679953,0.08333333333333333
2,validation,soft_posterior_fixed_transition,1,3,0.2,0.30000000000000004,59,0.2432721457365459,0.1694915254237288
2,validation,soft_posterior_fixed_transition,1,4,0.30000000000000004,0.4,55,0.34610155356210237,0.2727272727272727
2,validation,soft_posterior_fixed_transition,1,5,0.4,0.5,37,0.44347667802849255,0.32432432432432434
2,validation,soft_posterior_fixed_transition,1,6,0.5,0.6000000000000001,44,0.553727241799568,0.5909090909090909
2,validation,soft_posterior_fixed_transition,1,7,0.6000000000000001,0.7000000000000001,35,0.650084521962745,0.6
