N_STATES,FROM_STATE,TO_STATE,RELATIVE_DAY,EVENT_COUNT,MEDIAN_DESTINATION_POSTERIOR,BOOTSTRAP_CI_LOWER,BOOTSTRAP_CI_UPPER
4,0,1,-10,1,0.0010486573674487877,0.0010486573674487877,0.0010486573674487877
4,0,1,-9,1,0.0002755503654948122,0.0002755503654948122,0.0002755503654948122
4,0,1,-8,1,2.6538954104880364e-05,2.6538954104880364e-05,2.6538954104880364e-05
4,0,1,-7,1,3.603586041935293e-05,3.603586041935293e-05,3.603586041935293e-05
4,0,1,-6,1,7.799400167249566e-06,7.799400167249566e-06,7.799400167249566e-06
4,0,1,-5,1,5.253763446891873e-07,5.253763446891873e-07,5.253763446891873e-07
4,0,1,-4,1,3.6018535726884525e-05,3.6018535726884525e-05,3.6018535726884525e-05
4,0,1,-3,1,4.2044337057223765e-05,4.2044337057223765e-05,4.2044337057223765e-05
4,0,1,-2,1,0.052284410866395674,0.052284410866395674,0.052284410866395674
4,0,1,-1,1,0.0008281652284233158,0.0008281652284233158,0.0008281652284233158
4,0,1,0,1,0.9002972401435587,0.9002972401435587,0.9002972401435587
4,0,1,1,1,0.9435828608300384,0.9435828608300384,0.9435828608300384
4,0,1,2,1,0.781844861691327,0.781844861691327,0.781844861691327
4,0,1,3,1,0.050883766651579856,0.050883766651579856,0.050883766651579856
4,0,1,4,1,0.011921252734455642,0.011921252734455642,0.011921252734455642
4,0,1,5,1,0.016065048568866314,0.016065048568866314,0.016065048568866314
4,0,1,6,1,0.000655535023819006,0.000655535023819006,0.000655535023819006
4,0,1,7,1,0.002321296591299028,0.002321296591299028,0.002321296591299028
4,0,1,8,1,0.000752376018615557,0.000752376018615557,0.000752376018615557
4,0,1,9,1,0.00023585153044868576,0.00023585153044868576,0.00023585153044868576
4,0,1,10,1,3.9196985044393766e-05,3.9196985044393766e-05,3.9196985044393766e-05
4,0,2,-10,256,0.24069217858095754,0.1276056328645544,0.32420446255257146
4,0,2,-9,256,0.2966535353347394,0.12876581654754,0.5037328800478253
4,0,2,-8,256,0.2447804849040698,0.16415951887899585,0.36476799895352596
4,0,2,-7,256,0.2273846506772662,0.15285868094903926,0.34928135305368924
4,0,2,-6,256,0.2538535841243783,0.1519738354829572,0.4221915146753181
4,0,2,-5,256,0.22741174406050757,0.11914584095088998,0.30643829947387535
4,0,2,-4,256,0.22363638398896252,0.12176210403215723,0.29988586908353515
4,0,2,-3,256,0.19791992884081538,0.10741331003206203,0.2783052664270393
4,0,2,-2,256,0.1079360454986715,0.07945690697837875,0.13874336637479848
4,0,2,-1,256,0.06846087419426505,0.04555146350326156,0.1162900827851815
4,0,2,0,256,0.8929672090934493,0.8591035953821389,0.9200697026235177
4,0,2,1,256,0.8692151073324068,0.809338875768237,0.9217285255687853
4,0,2,2,256,0.768769498698044,0.6606351069183207,0.8325182988185049
4,0,2,3,256,0.6043067374921025,0.5134212682128823,0.692628564777458
4,0,2,4,256,0.5424240376455085,0.404286541929077,0.6544965148807905
4,0,2,5,256,0.5254784310731997,0.3626972563496867,0.6450343748737215
4,0,2,6,256,0.3996829046936546,0.26140954995049137,0.5456283014740945
4,0,2,7,256,0.3088975093353399,0.2145700059797833,0.4624601950592457
4,0,2,8,256,0.3030645117966688,0.2026378552376326,0.43497633275801606
4,0,2,9,256,0.29079204936469705,0.18949463477276796,0.5066256065022142
4,0,2,10,256,0.40168700951893327,0.23869216106714447,0.5301165229818221
4,0,3,-10,1,2.2771462275673812e-08,2.2771462275673812e-08,2.2771462275673812e-08
4,0,3,-9,1,1.6267545469975742e-07,1.6267545469975742e-07,1.6267545469975742e-07
4,0,3,-8,1,6.215927055860793e-08,6.215927055860793e-08,6.215927055860793e-08
4,0,3,-7,1,6.195386082570062e-08,6.195386082570062e-08,6.195386082570062e-08
4,0,3,-6,1,1.7904418834813276e-08,1.7904418834813276e-08,1.7904418834813276e-08
4,0,3,-5,1,5.932021627073312e-09,5.932021627073312e-09,5.932021627073312e-09
4,0,3,-4,1,9.851534285819866e-09,9.851534285819866e-09,9.851534285819866e-09
4,0,3,-3,1,1.1098124364379437e-08,1.1098124364379437e-08,1.1098124364379437e-08
4,0,3,-2,1,1.691070879842969e-07,1.691070879842969e-07,1.691070879842969e-07
4,0,3,-1,1,2.988117376803163e-07,2.988117376803163e-07,2.988117376803163e-07
4,0,3,0,1,0.6696470835598285,0.6696470835598285,0.6696470835598285
4,0,3,1,1,0.9428179767964389,0.9428179767964389,0.9428179767964389
4,0,3,2,1,0.9993798770416188,0.9993798770416188,0.9993798770416188
4,0,3,3,1,0.4722860115171597,0.4722860115171597,0.4722860115171597
4,0,3,4,1,0.0030794040432139437,0.0030794040432139437,0.0030794040432139437
4,0,3,5,1,4.848015024071504e-05,4.848015024071504e-05,4.848015024071504e-05
4,0,3,6,1,7.004649094804993e-06,7.004649094804993e-06,7.004649094804993e-06
4,0,3,7,1,6.442113175826758e-06,6.442113175826758e-06,6.442113175826758e-06
4,0,3,8,1,7.219607314031558e-08,7.219607314031558e-08,7.219607314031558e-08
4,0,3,9,1,8.320977050798428e-09,8.320977050798428e-09,8.320977050798428e-09
4,0,3,10,1,9.461376158857067e-09,9.461376158857067e-09,9.461376158857067e-09
4,1,0,-10,2,0.45670401741674854,4.585674302087112e-07,0.9134075762660668
4,1,0,-9,2,0.48152626217248157,5.4915536132712196e-11,0.9630525242900476
4,1,0,-8,2,0.4962112800802188,2.658383078586762e-07,0.9924222943221298
4,1,0,-7,2,0.36674384717718855,2.60392494212401e-05,0.7334616551049559
4,1,0,-6,2,0.41717609212178297,1.3495098895489827e-05,0.8343386891446705
4,1,0,-5,2,0.014893688631376793,6.942382201999463e-08,0.029787307838931566
4,1,0,-4,2,0.3209769351757948,1.9160937541290113e-05,0.6419347094140483
4,1,0,-3,2,4.685812056560392e-09,2.4063795762268754e-19,9.371624112880146e-09
4,1,0,-2,2,0.013457050782154275,3.9346624632648975e-09,0.026914097629646087
4,1,0,-1,2,1.3383592086406498e-05,5.12430615461955e-07,2.6254753557351043e-05
4,1,0,0,2,0.5170586653195338,0.4898409388583562,0.5442763917807114
4,1,0,1,2,0.13218629472733257,0.010675770243325562,0.2536968192113396
4,1,0,2,2,6.564619740614306e-05,1.3542563532181028e-05,0.0001177498312801051
4,1,0,3,2,0.22035867153708927,0.041606131927352734,0.3991112111468258
4,1,0,4,2,0.08690367609726772,0.0053508586172572835,0.16845649357727815
4,1,0,5,2,0.013643312380332277,1.3011883280629928e-05,0.027273612877383925
4,1,0,6,2,0.10437926374519066,0.0015852309497376095,0.2071732965406437
4,1,0,7,2,0.39435482520776277,4.993402131160722e-06,0.7887046570133944
4,1,0,8,2,0.4597444606067982,0.005302028745177072,0.9141868924684193
4,1,0,9,2,0.34374650668201706,0.00014895112028428788,0.6873440622437499
4,1,0,10,2,0.48562191979048913,0.002770790692542011,0.9684730488884362
4,1,2,-10,54,0.4493664000138597,0.2561880120047726,0.8099953209765268
4,1,2,-9,54,0.6018082705378386,0.30309690263082995,0.8022844453843172
4,1,2,-8,54,0.4670235370830245,0.24570543392036898,0.6644975174592995
4,1,2,-7,54,0.4165024357150329,0.14837216647016618,0.6816000778635964
4,1,2,-6,54,0.46978622756137356,0.18389642358469582,0.7395619953286932
4,1,2,-5,54,0.35567209505487374,0.08627528124290913,0.5973670480519941
4,1,2,-4,54,0.2610245466099248,0.0981951734302907,0.5049506976036199
4,1,2,-3,54,0.17962562118982595,0.031013044646968708,0.3113647152908854
4,1,2,-2,54,0.12204947590799742,0.06644358964506102,0.3821534083051442
4,1,2,-1,54,0.40088726255958285,0.30471214295632354,0.4312990400321426
4,1,2,0,54,0.7551818332861094,0.6792303607594672,0.801979068128478
4,1,2,1,54,0.7678150144662699,0.5767321376477369,0.8307578070566587
4,1,2,2,54,0.6514119906456904,0.5245168883492289,0.858662014524419
4,1,2,3,54,0.6884418491479509,0.359076560276347,0.8873458740886135
4,1,2,4,54,0.6566336428333861,0.2988062383108559,0.8269131839463038
4,1,2,5,54,0.565556649154109,0.42074936974977206,0.8619327037060112
4,1,2,6,54,0.7130582015489092,0.3923115913569131,0.8311661461389184
4,1,2,7,54,0.6243743697578605,0.43002020802207536,0.8625264536767722
4,1,2,8,54,0.6157382543002653,0.532824186512423,0.7245617698633983
4,1,2,9,54,0.7725280911965429,0.5098036377202735,0.8388867988156462
4,1,2,10,54,0.6657072915239441,0.3006112674815381,0.8662106938692258
4,1,3,-10,7,0.0012922789979833004,2.071995301599425e-05,0.12208087003518706
4,1,3,-9,7,0.0042503722508342974,6.243976876806493e-05,0.008982100389783596
4,1,3,-8,7,0.0028479470775116013,1.1464536467590503e-05,0.010174886462583103
4,1,3,-7,7,0.0020711012175239516,0.0011730875080108243,0.011398406362987008
4,1,3,-6,7,0.0042503722508342974,0.0016262058593904231,0.3723096852479273
4,1,3,-5,7,0.009230769331024817,0.0008070354557692535,0.8909730671277394
4,1,3,-4,7,0.05986858491473065,0.002581571414413473,0.41657797969228433
4,1,3,-3,7,0.006630251332352384,0.0016262058593904231,0.3698248079590234
4,1,3,-2,7,0.007030511134591479,0.0032024079572860417,0.19311703185216766
4,1,3,-1,7,0.005715522526453288,0.001060177836956868,0.06571776078756551
4,1,3,0,7,0.934329093798783,0.8605021071179348,0.999309898192604
4,1,3,1,7,0.9073109384553802,0.43476557896788814,0.9871669843023387
4,1,3,2,7,0.33146471474962025,0.019769309183539807,0.991399354619373
4,1,3,3,7,0.9383596574831624,0.015974532035176677,0.9999707463709325
4,1,3,4,7,0.3632887801687778,0.003995708510454831,0.9999999999998413
4,1,3,5,7,0.9959391783749696,0.007974429442974879,0.9999999998330629
4,1,3,6,7,0.9837793828934688,0.003892297868790909,0.999936587441408
4,1,3,7,7,0.9977305810559663,0.004679989860367232,0.9999999999998413
4,1,3,8,7,0.3832596505935255,0.026594516058186773,0.9398233551960025
4,1,3,9,7,0.06614230979379589,0.0034976662557196702,0.9999999043029552
4,1,3,10,7,0.012780903309638339,0.0012201207135425713,0.9873664176740371
4,2,0,-10,256,0.4616314023751241,0.3376241975291956,0.6770366210688235
4,2,0,-9,256,0.6278551814246995,0.3964224742039169,0.700391118443788
4,2,0,-8,256,0.6172140790846958,0.46088001074189533,0.7371858657585055
4,2,0,-7,256,0.562098757220838,0.44283504047579725,0.7668776584524226
4,2,0,-6,256,0.47217199185728825,0.3161816883710249,0.6685347052998666
4,2,0,-5,256,0.5058325670641332,0.3183200315507331,0.6215846781558899
4,2,0,-4,256,0.30380307165198484,0.18617852030870047,0.4637598923537881
4,2,0,-3,256,0.2261498403542645,0.12166086350359417,0.2887436906450455
4,2,0,-2,256,0.12547558187152114,0.08228631238430538,0.18657390248149258
4,2,0,-1,256,0.2394750730761508,0.20065272662313055,0.28717116427334655
4,2,0,0,256,0.7314305787961355,0.6973636199980756,0.7577123543947513
4,2,0,1,256,0.863817436852216,0.8257480456487298,0.891732450003212
4,2,0,2,256,0.8805799784042639,0.7930822103728621,0.9231447248292434
4,2,0,3,256,0.8478967241612823,0.7488869302685256,0.8884073684533758
4,2,0,4,256,0.7369461949326067,0.5726588422427297,0.8353874554760004
4,2,0,5,256,0.6657966398460831,0.5158704558058088,0.7801794034779487
4,2,0,6,256,0.6778463463147175,0.4987928356702694,0.8116955225213307
4,2,0,7,256,0.7629615852312039,0.660931494166462,0.8450634638432586
4,2,0,8,256,0.8010017442864833,0.6034005963431313,0.8999402845030882
4,2,0,9,256,0.8030931106311102,0.7250076067859372,0.8862489262440574
