N_STATES,FROM_STATE,TO_STATE,RELATIVE_DAY,ROLLING_WINDOW,FEATURE,STATISTIC,EVENT_COUNT,MEDIAN,PERCENTILE_25,PERCENTILE_75
4,0,1,-10,5,SPXT,rolling_mean_z,1,0.223558138359297,0.223558138359297,0.223558138359297
4,0,1,-9,5,SPXT,rolling_mean_z,1,0.2995924338361089,0.2995924338361089,0.2995924338361089
4,0,1,-8,5,SPXT,rolling_mean_z,1,0.23625377301689315,0.23625377301689315,0.23625377301689315
4,0,1,-7,5,SPXT,rolling_mean_z,1,0.20039906854434147,0.20039906854434147,0.20039906854434147
4,0,1,-6,5,SPXT,rolling_mean_z,1,0.051539264372308005,0.051539264372308005,0.051539264372308005
4,0,1,-5,5,SPXT,rolling_mean_z,1,0.020427983837759282,0.020427983837759282,0.020427983837759282
4,0,1,-4,5,SPXT,rolling_mean_z,1,-0.021146731854148854,-0.021146731854148854,-0.021146731854148854
4,0,1,-3,5,SPXT,rolling_mean_z,1,-0.013613058540850062,-0.013613058540850062,-0.013613058540850062
4,0,1,-2,5,SPXT,rolling_mean_z,1,-0.007614022383964003,-0.007614022383964003,-0.007614022383964003
4,0,1,-1,5,SPXT,rolling_mean_z,1,0.08864958106374277,0.08864958106374277,0.08864958106374277
4,0,1,0,5,SPXT,rolling_mean_z,1,0.31410173058764734,0.31410173058764734,0.31410173058764734
4,0,1,1,5,SPXT,rolling_mean_z,1,0.34312032409072407,0.34312032409072407,0.34312032409072407
4,0,1,2,5,SPXT,rolling_mean_z,1,0.3779984412819222,0.3779984412819222,0.3779984412819222
4,0,1,3,5,SPXT,rolling_mean_z,1,0.28661777424098317,0.28661777424098317,0.28661777424098317
4,0,1,4,5,SPXT,rolling_mean_z,1,0.29080314830392695,0.29080314830392695,0.29080314830392695
4,0,1,5,5,SPXT,rolling_mean_z,1,-0.009288172009141537,-0.009288172009141537,-0.009288172009141537
4,0,1,6,5,SPXT,rolling_mean_z,1,0.09395105487680484,0.09395105487680484,0.09395105487680484
4,0,1,7,5,SPXT,rolling_mean_z,1,0.05460853868513338,0.05460853868513338,0.05460853868513338
4,0,1,8,5,SPXT,rolling_mean_z,1,-0.05114191263857929,-0.05114191263857929,-0.05114191263857929
4,0,1,9,5,SPXT,rolling_mean_z,1,0.08320859478191582,0.08320859478191582,0.08320859478191582
