MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,N_STATES,STATE_LAG,EXOG_LAG,REFERENCE_STATE,SIGNIFICANCE_LEVEL,VIF_THRESHOLD,SELECTED_TERM_COUNT,SELECTED_FEATURE_COUNT,SELECTED_TERMS,SELECTED_FEATURES,TERM_P_VALUES,TERM_VIFS,FEATURE_VIFS,MAX_SELECTED_P_VALUE,MAX_SELECTED_VIF,ALL_TERMS_SIGNIFICANT,ALL_FEATURES_WITHIN_VIF_THRESHOLD,REMOVED_TERMS,GLOBAL_DURATION_REMOVED_AS_REDUNDANT,STATE_LAG_DEFECT_CORRECTED,TRAIN_ROWS,SPLIT,SPLIT_START,SPLIT_END,EVAL_ROWS
pvalue_vif_selected_mlr,0.1950757623439007,0.9507936507936507,0.0933010977256379,2,0,0,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331166023, ""STATE_LAG_0"": 9.092717878522578e-78}","{""DURATION_STATE_0"": 1.1662599018123483, ""STATE_LAG_0"": 1.1662599018123498}","{""DURATION_STATE_0"": 1.1662599018123483, ""STATE_LAG_0_1"": 1.1662599018123498}",0.015845765331166023,1.1662599018123498,True,True,IBOXIG_LAG_0|LT11TRUU_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,2318,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.19175487907330613,0.9526011560693641,0.09023947705264419,2,0,0,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331166023, ""STATE_LAG_0"": 9.092717878522578e-78}","{""DURATION_STATE_0"": 1.1662599018123483, ""STATE_LAG_0"": 1.1662599018123498}","{""DURATION_STATE_0"": 1.1662599018123483, ""STATE_LAG_0_1"": 1.1662599018123498}",0.015845765331166023,1.1662599018123498,True,True,IBOXIG_LAG_0|LT11TRUU_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,2318,prediction,2017-01-03,2023-12-05,1730
pvalue_vif_selected_mlr,0.19503260194886357,0.9507936507936507,0.09329352525209667,2,0,1,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331164878, ""STATE_LAG_0"": 1.044541032967638e-77}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0"": 1.1659094967823387}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0_1"": 1.1659094967823387}",0.015845765331164878,1.1659094967823387,True,True,LT11TRUU_LAG_0|JPEICORE_LAG_1|SPXT_LAG_0|DBLCIX_LAG_1|IBOXIG_LAG_0|SPXT_LAG_1|DBLCIX_LAG_0|LBUTTRUU_LAG_1|LT11TRUU_LAG_1|IBOXIG_LAG_1|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,2317,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.19172330543952523,0.9526011560693641,0.0902338878191882,2,0,1,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331164878, ""STATE_LAG_0"": 1.044541032967638e-77}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0"": 1.1659094967823387}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0_1"": 1.1659094967823387}",0.015845765331164878,1.1659094967823387,True,True,LT11TRUU_LAG_0|JPEICORE_LAG_1|SPXT_LAG_0|DBLCIX_LAG_1|IBOXIG_LAG_0|SPXT_LAG_1|DBLCIX_LAG_0|LBUTTRUU_LAG_1|LT11TRUU_LAG_1|IBOXIG_LAG_1|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,2317,prediction,2017-01-03,2023-12-05,1730
pvalue_vif_selected_mlr,0.19630931364343557,0.9507936507936507,0.09348824360976306,2,0,2,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331165013, ""STATE_LAG_0"": 4.1748349066617484e-77}","{""DURATION_STATE_0"": 1.165558789157309, ""STATE_LAG_0"": 1.1655587891573105}","{""DURATION_STATE_0"": 1.165558789157309, ""STATE_LAG_0_1"": 1.1655587891573105}",0.015845765331165013,1.1655587891573105,True,True,SPXT_LAG_0|JPEICORE_LAG_2|LT11TRUU_LAG_0|LBUTTRUU_LAG_2|IBOXIG_LAG_2|DBLCIX_LAG_2|DBLCIX_LAG_1|JPEICORE_LAG_1|IBOXIG_LAG_0|LT11TRUU_LAG_2|LBUTTRUU_LAG_1|LT11TRUU_LAG_1|DBLCIX_LAG_0|SPXT_LAG_1|SPXT_LAG_2|IBOXIG_LAG_1|DURATION_STATE_1|JPEICORE_LAG_0|LBUTTRUU_LAG_0,True,True,2316,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.1927288783517526,0.9526011560693641,0.09038291855919321,2,0,2,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331165013, ""STATE_LAG_0"": 4.1748349066617484e-77}","{""DURATION_STATE_0"": 1.165558789157309, ""STATE_LAG_0"": 1.1655587891573105}","{""DURATION_STATE_0"": 1.165558789157309, ""STATE_LAG_0_1"": 1.1655587891573105}",0.015845765331165013,1.1655587891573105,True,True,SPXT_LAG_0|JPEICORE_LAG_2|LT11TRUU_LAG_0|LBUTTRUU_LAG_2|IBOXIG_LAG_2|DBLCIX_LAG_2|DBLCIX_LAG_1|JPEICORE_LAG_1|IBOXIG_LAG_0|LT11TRUU_LAG_2|LBUTTRUU_LAG_1|LT11TRUU_LAG_1|DBLCIX_LAG_0|SPXT_LAG_1|SPXT_LAG_2|IBOXIG_LAG_1|DURATION_STATE_1|JPEICORE_LAG_0|LBUTTRUU_LAG_0,True,True,2316,prediction,2017-01-03,2023-12-05,1730
pvalue_vif_selected_mlr,0.19503260194886357,0.9507936507936507,0.09329352525209667,2,1,0,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331164878, ""STATE_LAG_0"": 1.044541032967638e-77}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0"": 1.1659094967823387}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0_1"": 1.1659094967823387}",0.015845765331164878,1.1659094967823387,True,True,STATE_LAG_1|IBOXIG_LAG_0|LT11TRUU_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,2317,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.19172330543952523,0.9526011560693641,0.0902338878191882,2,1,0,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331164878, ""STATE_LAG_0"": 1.044541032967638e-77}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0"": 1.1659094967823387}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0_1"": 1.1659094967823387}",0.015845765331164878,1.1659094967823387,True,True,STATE_LAG_1|IBOXIG_LAG_0|LT11TRUU_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,2317,prediction,2017-01-03,2023-12-05,1730
pvalue_vif_selected_mlr,0.19503260194886357,0.9507936507936507,0.09329352525209667,2,1,1,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331164878, ""STATE_LAG_0"": 1.044541032967638e-77}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0"": 1.1659094967823387}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0_1"": 1.1659094967823387}",0.015845765331164878,1.1659094967823387,True,True,STATE_LAG_1|LT11TRUU_LAG_0|JPEICORE_LAG_1|SPXT_LAG_0|DBLCIX_LAG_1|IBOXIG_LAG_0|SPXT_LAG_1|DBLCIX_LAG_0|LBUTTRUU_LAG_1|LT11TRUU_LAG_1|IBOXIG_LAG_1|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,2317,validation,2009-06-02,2016-12-30,1890
pvalue_vif_selected_mlr,0.19172330543952523,0.9526011560693641,0.0902338878191882,2,1,1,0,0.05,5.0,2,2,STATE_LAG_0|DURATION_STATE_0,STATE_LAG_0_1|DURATION_STATE_0,"{""DURATION_STATE_0"": 0.015845765331164878, ""STATE_LAG_0"": 1.044541032967638e-77}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0"": 1.1659094967823387}","{""DURATION_STATE_0"": 1.1659094967823376, ""STATE_LAG_0_1"": 1.1659094967823387}",0.015845765331164878,1.1659094967823387,True,True,STATE_LAG_1|LT11TRUU_LAG_0|JPEICORE_LAG_1|SPXT_LAG_0|DBLCIX_LAG_1|IBOXIG_LAG_0|SPXT_LAG_1|DBLCIX_LAG_0|LBUTTRUU_LAG_1|LT11TRUU_LAG_1|IBOXIG_LAG_1|LBUTTRUU_LAG_0|JPEICORE_LAG_0|DURATION_STATE_1,True,True,2317,prediction,2017-01-03,2023-12-05,1730
