N_STATES,MODEL,TERM,IMPORTANCE,TERM_P_VALUE,INFERENCE_METHOD,REGULARIZATION_C,COEFFICIENT_SCALE,NORMALIZED_IMPORTANCE
2,MLG,DURATION_STATE_0,0.6121171231340095,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.3158971169248223
2,MLG,DURATION_STATE_1,0.5742337456131168,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.29634652883319557
2,MLG,STATE_LAG_0,0.20219944058395187,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.10434967085588041
2,MLG,SPXT_LAG_2,0.06581804427722157,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.033966915224249834
2,MLG,JPEICORE_LAG_0,0.05368248456187134,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.02770408057796454
2,MLG,SPXT_LAG_1,0.05279675364506632,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.027246978771112082
2,MLG,IBOXIG_LAG_1,0.045904603855825614,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.02369012638853544
2,MLG,SPXT_LAG_0,0.0408934830523614,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.02110402226801767
2,MLG,LBUTTRUU_LAG_0,0.03742233186816928,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.01931265488087073
2,MLG,JPEICORE_LAG_1,0.037407976973230804,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.019305246707249302
2,MLG,LT11TRUU_LAG_0,0.03414287478889598,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.017620215644541228
2,MLG,LT11TRUU_LAG_2,0.03189250471109924,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.016458860419008275
2,MLG,JPEICORE_LAG_2,0.02920083437536485,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.015069762047740512
2,MLG,DBLCIX_LAG_1,0.02195198456119188,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.011328826415039782
2,MLG,IBOXIG_LAG_2,0.019127569165722516,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.009871221903245199
2,MLG,DBLCIX_LAG_2,0.016855635833448675,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.008698738464395887
2,MLG,LBUTTRUU_LAG_2,0.014997673495240421,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.007739894276228331
2,MLG,LBUTTRUU_LAG_1,0.013857688796767086,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.007151578958822483
2,MLG,LT11TRUU_LAG_1,0.01299779743015225,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.006707812246021829
2,MLG,DBLCIX_LAG_0,0.011500015871562836,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.005934847631473744
2,MLG,IBOXIG_LAG_0,0.008709815484595353,0.02,regularized_bootstrap,0.01,penalized_basis_coefficients,0.004494900561584988
