N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,LOG_ODDS_CONTRAST,FITTED_LOG_ODDS,OBSERVATION_COUNT,NUMERATOR_COUNT,DENOMINATOR_COUNT,OBSERVED_LOG_ODDS,OBSERVED_LOG_ODDS_SE
2,STATE_LAG_0,0.02,0.0,1 vs 0,-3.4141745271086417,,,,,
2,STATE_LAG_0,0.02,1.0,1 vs 0,-3.21197508652469,,,,,
2,STATE_LAG_0,0.02,0.0,1 vs 0,,1924.0,17.0,1907.0,-4.6913478822291435,0.2401397583463912
2,STATE_LAG_0,0.02,1.0,1 vs 0,,392.0,376.0,16.0,3.1275576663334133,0.25151958791064477
2,SPXT_LAG_0,0.02,-0.0946,1 vs 0,-3.1968943105806362,,,,,
2,SPXT_LAG_0,0.02,-0.09208291139240507,1 vs 0,-3.201749520243826,,,,,
2,SPXT_LAG_0,0.02,-0.08956582278481012,1 vs 0,-3.2066125837495933,,,,,
2,SPXT_LAG_0,0.02,-0.08704873417721519,1 vs 0,-3.2114836706896988,,,,,
2,SPXT_LAG_0,0.02,-0.08453164556962026,1 vs 0,-3.2163629506559004,,,,,
2,SPXT_LAG_0,0.02,-0.08201455696202532,1 vs 0,-3.2212505932399593,,,,,
2,SPXT_LAG_0,0.02,-0.07949746835443039,1 vs 0,-3.2261467680336353,,,,,
2,SPXT_LAG_0,0.02,-0.07698037974683544,1 vs 0,-3.231051644628689,,,,,
2,SPXT_LAG_0,0.02,-0.07446329113924051,1 vs 0,-3.2359653926168788,,,,,
2,SPXT_LAG_0,0.02,-0.07194620253164558,1 vs 0,-3.240888181589966,,,,,
2,SPXT_LAG_0,0.02,-0.06942911392405063,1 vs 0,-3.245820181139711,,,,,
2,SPXT_LAG_0,0.02,-0.0669120253164557,1 vs 0,-3.2507615608578724,,,,,
2,SPXT_LAG_0,0.02,-0.06439493670886076,1 vs 0,-3.255712490336211,,,,,
2,SPXT_LAG_0,0.02,-0.06187784810126583,1 vs 0,-3.2606731391664865,,,,,
2,SPXT_LAG_0,0.02,-0.05936075949367089,1 vs 0,-3.265643676940458,,,,,
2,SPXT_LAG_0,0.02,-0.05684367088607595,1 vs 0,-3.270624273249888,,,,,
2,SPXT_LAG_0,0.02,-0.054326582278481014,1 vs 0,-3.275615093444879,,,,,
2,SPXT_LAG_0,0.02,-0.05180949367088608,1 vs 0,-3.280615403644699,,,,,
2,SPXT_LAG_0,0.02,-0.04929240506329114,1 vs 0,-3.2856224636658466,,,,,
2,SPXT_LAG_0,0.02,-0.0467753164556962,1 vs 0,-3.2906332618589063,,,,,
2,SPXT_LAG_0,0.02,-0.04425822784810127,1 vs 0,-3.2956447865744645,,,,,
2,SPXT_LAG_0,0.02,-0.041741139240506334,1 vs 0,-3.3006540261631065,,,,,
2,SPXT_LAG_0,0.02,-0.03922405063291139,1 vs 0,-3.3056579689754177,,,,,
2,SPXT_LAG_0,0.02,-0.03670696202531645,1 vs 0,-3.3106536033619833,,,,,
2,SPXT_LAG_0,0.02,-0.03418987341772152,1 vs 0,-3.3156379176733894,,,,,
2,SPXT_LAG_0,0.02,-0.031672784810126586,1 vs 0,-3.3206079002602205,,,,,
2,SPXT_LAG_0,0.02,-0.029155696202531653,1 vs 0,-3.3255605394730625,,,,,
2,SPXT_LAG_0,0.02,-0.026638607594936706,1 vs 0,-3.3304928236625004,,,,,
2,SPXT_LAG_0,0.02,-0.024121518987341772,1 vs 0,-3.335401741179121,,,,,
2,SPXT_LAG_0,0.02,-0.02160443037974684,1 vs 0,-3.340284280373508,,,,,
2,SPXT_LAG_0,0.02,-0.019087341772151892,1 vs 0,-3.3451374295962477,,,,,
2,SPXT_LAG_0,0.02,-0.01657025316455696,1 vs 0,-3.349958177197925,,,,,
2,SPXT_LAG_0,0.02,-0.014053164556962025,1 vs 0,-3.354743538449356,,,,,
2,SPXT_LAG_0,0.02,-0.011536075949367092,1 vs 0,-3.3594915751452454,,,,,
2,SPXT_LAG_0,0.02,-0.009018987341772158,1 vs 0,-3.364201708551855,,,,,
2,SPXT_LAG_0,0.02,-0.006501898734177211,1 vs 0,-3.3688734507912157,,,,,
2,SPXT_LAG_0,0.02,-0.003984810126582278,1 vs 0,-3.3735063139853603,,,,,
2,SPXT_LAG_0,0.02,-0.0014677215189873444,1 vs 0,-3.3780998102563204,,,,,
2,SPXT_LAG_0,0.02,0.0010493670886076029,1 vs 0,-3.382653451726128,,,,,
2,SPXT_LAG_0,0.02,0.0035664556962025362,1 vs 0,-3.3871667505168155,,,,,
2,SPXT_LAG_0,0.02,0.00608354430379747,1 vs 0,-3.3916392187504143,,,,,
2,SPXT_LAG_0,0.02,0.008600632911392403,1 vs 0,-3.396070368548957,,,,,
2,SPXT_LAG_0,0.02,0.011117721518987336,1 vs 0,-3.4004597120344755,,,,,
2,SPXT_LAG_0,0.02,0.013634810126582284,1 vs 0,-3.4048067613290014,,,,,
2,SPXT_LAG_0,0.02,0.016151898734177217,1 vs 0,-3.4091110285545683,,,,,
2,SPXT_LAG_0,0.02,0.01866898734177215,1 vs 0,-3.4133720258332056,,,,,
2,SPXT_LAG_0,0.02,0.021186075949367097,1 vs 0,-3.417589265286947,,,,,
2,SPXT_LAG_0,0.02,0.02370316455696203,1 vs 0,-3.421762259037825,,,,,
2,SPXT_LAG_0,0.02,0.026220253164556964,1 vs 0,-3.425890613152811,,,,,
2,SPXT_LAG_0,0.02,0.028737341772151898,1 vs 0,-3.4299753393935575,,,,,
2,SPXT_LAG_0,0.02,0.03125443037974683,1 vs 0,-3.434018531628259,,,,,
2,SPXT_LAG_0,0.02,0.03377151898734178,1 vs 0,-3.4380223115606525,,,,,
2,SPXT_LAG_0,0.02,0.0362886075949367,1 vs 0,-3.4419888008944697,,,,,
2,SPXT_LAG_0,0.02,0.038805696202531645,1 vs 0,-3.4459201213334474,,,,,
2,SPXT_LAG_0,0.02,0.04132278481012659,1 vs 0,-3.449818394581319,,,,,
2,SPXT_LAG_0,0.02,0.04383987341772151,1 vs 0,-3.4536857423418192,,,,,
2,SPXT_LAG_0,0.02,0.04635696202531646,1 vs 0,-3.4575242863186832,,,,,
2,SPXT_LAG_0,0.02,0.048874050632911406,1 vs 0,-3.461336148215645,,,,,
2,SPXT_LAG_0,0.02,0.051391139240506326,1 vs 0,-3.4651234497364394,,,,,
2,SPXT_LAG_0,0.02,0.05390822784810127,1 vs 0,-3.468888312584801,,,,,
2,SPXT_LAG_0,0.02,0.05642531645569622,1 vs 0,-3.472632858464464,,,,,
2,SPXT_LAG_0,0.02,0.05894240506329114,1 vs 0,-3.476359209079163,,,,,
2,SPXT_LAG_0,0.02,0.06145949367088609,1 vs 0,-3.4800694861326327,,,,,
2,SPXT_LAG_0,0.02,0.063976582278481,1 vs 0,-3.4837658113286087,,,,,
2,SPXT_LAG_0,0.02,0.06649367088607595,1 vs 0,-3.4874442750783348,,,,,
2,SPXT_LAG_0,0.02,0.0690107594936709,1 vs 0,-3.491056392772001,,,,,
2,SPXT_LAG_0,0.02,0.07152784810126582,1 vs 0,-3.4945337011434274,,,,,
2,SPXT_LAG_0,0.02,0.07404493670886077,1 vs 0,-3.497807642687487,,,,,
2,SPXT_LAG_0,0.02,0.07656202531645569,1 vs 0,-3.5008096598990552,,,,,
2,SPXT_LAG_0,0.02,0.07907911392405063,1 vs 0,-3.5034711952730038,,,,,
2,SPXT_LAG_0,0.02,0.08159620253164558,1 vs 0,-3.505723691304208,,,,,
2,SPXT_LAG_0,0.02,0.0841132911392405,1 vs 0,-3.507498590487541,,,,,
2,SPXT_LAG_0,0.02,0.08663037974683545,1 vs 0,-3.5087273353178765,,,,,
2,SPXT_LAG_0,0.02,0.0891474683544304,1 vs 0,-3.5093413682900896,,,,,
2,SPXT_LAG_0,0.02,0.09166455696202531,1 vs 0,-3.509272131899053,,,,,
2,SPXT_LAG_0,0.02,0.09418164556962026,1 vs 0,-3.5084510686396415,,,,,
2,SPXT_LAG_0,0.02,0.09669873417721521,1 vs 0,-3.5068096210067274,,,,,
2,SPXT_LAG_0,0.02,0.09921582278481013,1 vs 0,-3.504279231495186,,,,,
2,SPXT_LAG_0,0.02,0.10173291139240508,1 vs 0,-3.5007913425998907,,,,,
2,SPXT_LAG_0,0.02,0.10425,1 vs 0,-3.496277396815715,,,,,
2,SPXT_LAG_0,0.02,-0.021650000000000003,1 vs 0,,232.0,110.0,122.0,-0.10309550902697412,0.13119847202531956
2,SPXT_LAG_0,0.02,-0.011224999999999999,1 vs 0,,232.0,37.0,195.0,-1.6512194464490553,0.17827438453331754
2,SPXT_LAG_0,0.02,-0.00659,1 vs 0,,231.0,16.0,215.0,-2.5696005286372676,0.2554338110661135
2,SPXT_LAG_0,0.02,-0.00322,1 vs 0,,233.0,27.0,206.0,-2.016114407728562,0.2029932298766215
2,SPXT_LAG_0,0.02,-0.0007,1 vs 0,,231.0,15.0,216.0,-2.6367505235173434,0.26293548006421624
2,SPXT_LAG_0,0.02,0.00145,1 vs 0,,232.0,16.0,216.0,-2.57423016653601,0.2553918523571228
2,SPXT_LAG_0,0.02,0.0036750000000000003,1 vs 0,,230.0,13.0,217.0,-2.779509165084355,0.2804848930397132
2,SPXT_LAG_0,0.02,0.00626,1 vs 0,,233.0,22.0,211.0,-2.2407096892759584,0.2217489049175921
2,SPXT_LAG_0,0.02,0.010499999999999999,1 vs 0,,230.0,30.0,200.0,-1.883087563133258,0.19435641594239042
2,SPXT_LAG_0,0.02,0.02112,1 vs 0,,232.0,107.0,125.0,-0.15481491100412106,0.1314170958111432
2,DBLCIX_LAG_0,0.02,-0.07,1 vs 0,-3.3800246168397914,,,,,
2,DBLCIX_LAG_0,0.02,-0.06831164556962026,1 vs 0,-3.380045075054511,,,,,
2,DBLCIX_LAG_0,0.02,-0.06662329113924051,1 vs 0,-3.3800648487732228,,,,,
2,DBLCIX_LAG_0,0.02,-0.06493493670886076,1 vs 0,-3.380084231073429,,,,,
2,DBLCIX_LAG_0,0.02,-0.06324658227848103,1 vs 0,-3.380103515032629,,,,,
2,DBLCIX_LAG_0,0.02,-0.06155822784810128,1 vs 0,-3.3801229937283255,,,,,
2,DBLCIX_LAG_0,0.02,-0.05986987341772153,1 vs 0,-3.3801429602380186,,,,,
2,DBLCIX_LAG_0,0.02,-0.05818151898734178,1 vs 0,-3.380163707639209,,,,,
2,DBLCIX_LAG_0,0.02,-0.05649316455696203,1 vs 0,-3.3801855290093976,,,,,
2,DBLCIX_LAG_0,0.02,-0.05480481012658228,1 vs 0,-3.3802087174260866,,,,,
2,DBLCIX_LAG_0,0.02,-0.05311645569620254,1 vs 0,-3.380233565966775,,,,,
2,DBLCIX_LAG_0,0.02,-0.05142810126582279,1 vs 0,-3.3802603677089653,,,,,
2,DBLCIX_LAG_0,0.02,-0.04973974683544305,1 vs 0,-3.3802894157301573,,,,,
2,DBLCIX_LAG_0,0.02,-0.0480513924050633,1 vs 0,-3.380321003107853,,,,,
2,DBLCIX_LAG_0,0.02,-0.04636303797468355,1 vs 0,-3.380355422919553,,,,,
2,DBLCIX_LAG_0,0.02,-0.0446746835443038,1 vs 0,-3.380392968242757,,,,,
2,DBLCIX_LAG_0,0.02,-0.042986329113924054,1 vs 0,-3.380433930889077,,,,,
2,DBLCIX_LAG_0,0.02,-0.04129797468354431,1 vs 0,-3.380478334301306,,,,,
2,DBLCIX_LAG_0,0.02,-0.039609620253164564,1 vs 0,-3.38052560315596,,,,,
2,DBLCIX_LAG_0,0.02,-0.037921265822784815,1 vs 0,-3.380575081112556,,,,,
2,DBLCIX_LAG_0,0.02,-0.03623291139240507,1 vs 0,-3.380626111830609,,,,,
2,DBLCIX_LAG_0,0.02,-0.034544556962025325,1 vs 0,-3.380678038969635,,,,,
2,DBLCIX_LAG_0,0.02,-0.032856202531645576,1 vs 0,-3.3807302061891504,,,,,
2,DBLCIX_LAG_0,0.02,-0.031167848101265827,1 vs 0,-3.3807819571486704,,,,,
2,DBLCIX_LAG_0,0.02,-0.029479493670886085,1 vs 0,-3.380832635507711,,,,,
2,DBLCIX_LAG_0,0.02,-0.027791139240506336,1 vs 0,-3.3808815849257874,,,,,
2,DBLCIX_LAG_0,0.02,-0.026102784810126588,1 vs 0,-3.380928149062417,,,,,
2,DBLCIX_LAG_0,0.02,-0.024414430379746846,1 vs 0,-3.380971671577114,,,,,
2,DBLCIX_LAG_0,0.02,-0.022726075949367097,1 vs 0,-3.381011496129395,,,,,
2,DBLCIX_LAG_0,0.02,-0.02103772151898735,1 vs 0,-3.381046966378775,,,,,
2,DBLCIX_LAG_0,0.02,-0.0193493670886076,1 vs 0,-3.3810774259847713,,,,,
2,DBLCIX_LAG_0,0.02,-0.017661012658227858,1 vs 0,-3.381102218606899,,,,,
2,DBLCIX_LAG_0,0.02,-0.01597265822784811,1 vs 0,-3.381120675837795,,,,,
2,DBLCIX_LAG_0,0.02,-0.01428430379746836,1 vs 0,-3.3811316601702446,,,,,
2,DBLCIX_LAG_0,0.02,-0.012595949367088619,1 vs 0,-3.3811334247197236,,,,,
2,DBLCIX_LAG_0,0.02,-0.01090759493670887,1 vs 0,-3.3811241818759994,,,,,
