N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,PREDICTOR_LEVEL,LOG_ODDS_CONTRAST,CENTERED_PARTIAL_EFFECT
4,STATE_LAG_0,0.02,0.0,0,1 vs 0,-0.32637310732788866
4,STATE_LAG_0,0.02,1.0,1,1 vs 0,0.23310787231742527
4,STATE_LAG_0,0.02,2.0,2,1 vs 0,0.026574245011423775
4,STATE_LAG_0,0.02,3.0,3,1 vs 0,0.0
4,STATE_LAG_0,0.02,0.0,0,2 vs 0,-0.3635267355169481
4,STATE_LAG_0,0.02,1.0,1,2 vs 0,0.021215364916037226
4,STATE_LAG_0,0.02,2.0,2,2 vs 0,0.3253951169546457
4,STATE_LAG_0,0.02,3.0,3,2 vs 0,0.0
4,STATE_LAG_0,0.02,0.0,0,3 vs 0,-0.29766059606690953
4,STATE_LAG_0,0.02,1.0,1,3 vs 0,0.07878262526374352
4,STATE_LAG_0,0.02,2.0,2,3 vs 0,0.06676918148886873
4,STATE_LAG_0,0.02,3.0,3,3 vs 0,0.0
4,STATE_LAG_0,0.02,0.0,0,2 vs 1,-0.03715362818905944
4,STATE_LAG_0,0.02,1.0,1,2 vs 1,-0.21189250740138804
4,STATE_LAG_0,0.02,2.0,2,2 vs 1,0.29882087194322193
4,STATE_LAG_0,0.02,3.0,3,2 vs 1,0.0
4,STATE_LAG_0,0.02,0.0,0,3 vs 1,0.02871251126097915
4,STATE_LAG_0,0.02,1.0,1,3 vs 1,-0.15432524705368175
4,STATE_LAG_0,0.02,2.0,2,3 vs 1,0.04019493647744495
4,STATE_LAG_0,0.02,3.0,3,3 vs 1,0.0
4,STATE_LAG_0,0.02,0.0,0,3 vs 2,0.0658661394500386
4,STATE_LAG_0,0.02,1.0,1,3 vs 2,0.05756726034770629
4,STATE_LAG_0,0.02,2.0,2,3 vs 2,-0.25862593546577695
4,STATE_LAG_0,0.02,3.0,3,3 vs 2,0.0
4,SPXT_LAG_0,0.02,-0.0421618,,1 vs 0,-0.01866679391603132
4,SPXT_LAG_0,0.02,-0.04112889240506329,,1 vs 0,-0.018925108480711106
4,SPXT_LAG_0,0.02,-0.04009598481012658,,1 vs 0,-0.019160064932065277
4,SPXT_LAG_0,0.02,-0.039063077215189874,,1 vs 0,-0.019370649522406302
4,SPXT_LAG_0,0.02,-0.038030169620253164,,1 vs 0,-0.0195558485040465
4,SPXT_LAG_0,0.02,-0.03699726202531645,,1 vs 0,-0.019714648129298448
4,SPXT_LAG_0,0.02,-0.03596435443037975,,1 vs 0,-0.01984603465047452
4,SPXT_LAG_0,0.02,-0.03493144683544304,,1 vs 0,-0.019948994319887184
4,SPXT_LAG_0,0.02,-0.03389853924050633,,1 vs 0,-0.020022513389848853
4,SPXT_LAG_0,0.02,-0.03286563164556962,,1 vs 0,-0.020065578112671914
4,SPXT_LAG_0,0.02,-0.03183272405063291,,1 vs 0,-0.02007717474066896
4,SPXT_LAG_0,0.02,-0.030799816455696204,,1 vs 0,-0.02005628952615228
4,SPXT_LAG_0,0.02,-0.029766908860759493,,1 vs 0,-0.02000190872143434
4,SPXT_LAG_0,0.02,-0.028734001265822783,,1 vs 0,-0.019913018578827643
4,SPXT_LAG_0,0.02,-0.027701093670886075,,1 vs 0,-0.019788605350644584
4,SPXT_LAG_0,0.02,-0.02666818607594937,,1 vs 0,-0.019627655289197618
4,SPXT_LAG_0,0.02,-0.025635278481012658,,1 vs 0,-0.019429154646799146
4,SPXT_LAG_0,0.02,-0.024602370886075947,,1 vs 0,-0.01919208967576165
4,SPXT_LAG_0,0.02,-0.02356946329113924,,1 vs 0,-0.01891544662839753
4,SPXT_LAG_0,0.02,-0.022536555696202533,,1 vs 0,-0.018598211757019298
4,SPXT_LAG_0,0.02,-0.021503648101265822,,1 vs 0,-0.01823937131393931
4,SPXT_LAG_0,0.02,-0.020470740506329112,,1 vs 0,-0.01783791155147002
4,SPXT_LAG_0,0.02,-0.019437832911392405,,1 vs 0,-0.017392818721923928
4,SPXT_LAG_0,0.02,-0.018404925316455698,,1 vs 0,-0.01690307907761339
4,SPXT_LAG_0,0.02,-0.017372017721518987,,1 vs 0,-0.016367678870850902
4,SPXT_LAG_0,0.02,-0.016339110126582276,,1 vs 0,-0.015785604353948907
4,SPXT_LAG_0,0.02,-0.01530620253164557,,1 vs 0,-0.015155841779219817
4,SPXT_LAG_0,0.02,-0.014273294936708862,,1 vs 0,-0.014477473893208817
4,SPXT_LAG_0,0.02,-0.013240387341772152,,1 vs 0,-0.01375039146014867
4,SPXT_LAG_0,0.02,-0.012207479746835441,,1 vs 0,-0.012974888166579476
4,SPXT_LAG_0,0.02,-0.011174572151898734,,1 vs 0,-0.0121512606566659
4,SPXT_LAG_0,0.02,-0.010141664556962027,,1 vs 0,-0.011279805574572657
4,SPXT_LAG_0,0.02,-0.009108756962025316,,1 vs 0,-0.010360819564464524
4,SPXT_LAG_0,0.02,-0.008075849367088606,,1 vs 0,-0.00939459927050619
4,SPXT_LAG_0,0.02,-0.007042941772151895,,1 vs 0,-0.008381441336862389
4,SPXT_LAG_0,0.02,-0.006010034177215191,,1 vs 0,-0.007321642407697879
4,SPXT_LAG_0,0.02,-0.004977126582278481,,1 vs 0,-0.0062154991271773236
4,SPXT_LAG_0,0.02,-0.00394421898734177,,1 vs 0,-0.005063308139465553
4,SPXT_LAG_0,0.02,-0.0029113113924050665,,1 vs 0,-0.0038653660887271596
4,SPXT_LAG_0,0.02,-0.001878403797468356,,1 vs 0,-0.00262196961912696
4,SPXT_LAG_0,0.02,-0.0008454962025316454,,1 vs 0,-0.001333415374829644
4,SPXT_LAG_0,0.02,0.00018741139240506521,,1 vs 0,0.0
4,SPXT_LAG_0,0.02,0.0012203189873417758,,1 vs 0,0.001377979861197351
4,SPXT_LAG_0,0.02,0.0022532265822784794,,1 vs 0,0.0028002275645975933
4,SPXT_LAG_0,0.02,0.00328613417721519,,1 vs 0,0.004266446466036036
4,SPXT_LAG_0,0.02,0.004319041772151901,,1 vs 0,0.005776339921347934
4,SPXT_LAG_0,0.02,0.005351949367088604,,1 vs 0,0.0073296112863685675
4,SPXT_LAG_0,0.02,0.006384856962025315,,1 vs 0,0.008925963916933254
4,SPXT_LAG_0,0.02,0.007417764556962025,,1 vs 0,0.010565101168877183
4,SPXT_LAG_0,0.02,0.008450672151898736,,1 vs 0,0.012246726398035736
4,SPXT_LAG_0,0.02,0.009483579746835447,,1 vs 0,0.013970542960244074
4,SPXT_LAG_0,0.02,0.01051648734177215,,1 vs 0,0.015736254211337557
4,SPXT_LAG_0,0.02,0.01154939493670886,,1 vs 0,0.017543563507151368
