N_STATES,TERM,P_VALUE,PREDICTOR_VALUE,LOG_ODDS_CONTRAST,FITTED_LOG_ODDS,MODEL,PENALTY_GROUP,GROUP_PENALTY_WEIGHT,OBSERVATION_COUNT,NUMERATOR_COUNT,DENOMINATOR_COUNT,OBSERVED_LOG_ODDS,OBSERVED_LOG_ODDS_SE
4,STATE_LAG_0,0.02,0.0,1 vs 0,-4.017033790983234,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,1.0,1 vs 0,-3.460254294911824,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,2.0,1 vs 0,-3.6644517739241156,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,3.0,1 vs 0,-3.6926050165873194,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,0.0,1 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,1270.0,0.0,1270.0,-7.840312983320164,1.4144918139374942
4,STATE_LAG_0,0.02,1.0,1 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,130.0,130.0,0.0,5.564520407322694,1.4169201936767795
4,STATE_LAG_0,0.02,2.0,1 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,50.0,2.0,48.0,-2.9652730660692823,0.6485511211161622
4,STATE_LAG_0,0.02,3.0,1 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,5.0,5.0,0.0,2.3978952727983707,1.4770978917519928
4,STATE_LAG_0,0.02,0.0,2 vs 0,-1.1427976995090885,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,1.0,2 vs 0,-0.7578775876543916,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,2.0,2 vs 0,-0.45495451188051816,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,3.0,2 vs 0,-0.7802776705396363,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,0.0,2 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,1318.0,48.0,1270.0,-3.265602004816781,0.14630669293375997
4,STATE_LAG_0,0.02,1.0,2 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,3.0,3.0,0.0,1.9459101490553132,1.5118578920369088
4,STATE_LAG_0,0.02,2.0,2 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,819.0,771.0,48.0,2.766772873859778,0.1480362556301834
4,STATE_LAG_0,0.02,3.0,2 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,2.0,2.0,0.0,1.6094379124341003,1.5491933384829668
4,STATE_LAG_0,0.02,0.0,3 vs 0,-4.422021782937375,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,1.0,3 vs 0,-4.048667058768998,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,2.0,3 vs 0,-4.058339149209161,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,3.0,3 vs 0,-4.128187175507891,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,0.0,3 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,1270.0,0.0,1270.0,-7.840312983320164,1.4144918139374942
4,STATE_LAG_0,0.02,1.0,3 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,3.0,3.0,0.0,1.9459101490553132,1.5118578920369088
4,STATE_LAG_0,0.02,2.0,3 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,52.0,4.0,48.0,-2.3774864011671633,0.4927887771888207
4,STATE_LAG_0,0.02,3.0,3 vs 0,,group_weighted_multinomial_logistic_gam,state,1.0,32.0,32.0,0.0,4.174387269895637,1.4250506063888506
4,STATE_LAG_0,0.02,0.0,2 vs 1,2.8742360914741445,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,1.0,2 vs 1,2.702376707257432,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,2.0,2 vs 1,3.209497262043597,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,3.0,2 vs 1,2.9123273460476833,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,0.0,2 vs 1,,group_weighted_multinomial_logistic_gam,state,1.0,48.0,48.0,0.0,4.574710978503383,1.4214846311870666
4,STATE_LAG_0,0.02,1.0,2 vs 1,,group_weighted_multinomial_logistic_gam,state,1.0,133.0,3.0,130.0,-3.6186102582673803,0.5416429829355568
4,STATE_LAG_0,0.02,2.0,2 vs 1,,group_weighted_multinomial_logistic_gam,state,1.0,773.0,771.0,2.0,5.73204593992906,0.6334794205654782
4,STATE_LAG_0,0.02,3.0,2 vs 1,,group_weighted_multinomial_logistic_gam,state,1.0,7.0,2.0,5.0,-0.7884573603642702,0.7627700713964738
4,STATE_LAG_0,0.02,0.0,3 vs 1,-0.40498799195414165,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,1.0,3 vs 1,-0.5884127638571737,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,2.0,3 vs 1,-0.3938873752850454,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,3.0,3 vs 1,-0.4355821589205715,group_weighted_multinomial_logistic_gam,state,1.0,,,,,
4,STATE_LAG_0,0.02,1.0,3 vs 1,,group_weighted_multinomial_logistic_gam,state,1.0,133.0,3.0,130.0,-3.6186102582673803,0.5416429829355568
