N_STATES,MODEL,CANDIDATE,SPLIT,FROM_STATE,TO_STATE,OBSERVED_TRANSITIONS,MEAN_PROBABILITY_ASSIGNED_TO_DESTINATION,MEDIAN_PROBABILITY_ASSIGNED_TO_DESTINATION,MEAN_DESTINATION_LOG_LOSS
2,MLR,state_only,validation,0,1,46,0.009124972826723022,0.009124972826723022,4.696740357411383
2,MLR,state_only,validation,1,0,47,0.0445406362566272,0.044540636256627186,3.111353332193716
2,MLR,state_market,validation,0,1,46,0.009255622088932134,0.008230090307293266,4.748411523623804
2,MLR,state_market,validation,1,0,47,0.04014776771681369,0.03741890281995419,3.275889980816733
2,MLR,state_duration,validation,0,1,46,0.016096604954477105,0.017074476140706847,4.14858624358122
2,MLR,state_duration,validation,1,0,47,0.06449891432287418,0.07003880192060008,2.7898346443983137
2,MLR,state_market_restricted_duration,validation,0,1,46,0.014652250812687579,0.013947977696310314,4.339776047870129
2,MLR,state_market_restricted_duration,validation,1,0,47,0.03157128774584082,0.030266839415265978,3.5158207239527197
2,MLR,full,validation,0,1,46,0.016308501359135818,0.015131553384927627,4.209708490581111
2,MLR,full,validation,1,0,47,0.0604637300194571,0.05701817327382119,2.9285711549402516
2,MLR,state_only,prediction,0,1,41,0.009124972826723022,0.009124972826723022,4.696740357411383
2,MLR,state_only,prediction,1,0,41,0.044540636256627186,0.044540636256627186,3.111353332193716
2,MLR,state_market,prediction,0,1,41,0.009664271170931528,0.008809281112560078,4.77641941707013
2,MLR,state_market,prediction,1,0,41,0.040176398007203774,0.03696847314921192,3.2716119343197563
2,MLR,state_duration,prediction,0,1,41,0.016065964249146494,0.017334412287522825,4.145340099320633
2,MLR,state_duration,prediction,1,0,41,0.06205086713715287,0.06691662266160858,2.8192061414031606
2,MLR,state_market_restricted_duration,prediction,0,1,41,0.015656838314721887,0.012695528838563796,4.346046135875963
2,MLR,state_market_restricted_duration,prediction,1,0,41,0.03334862308383537,0.029481771835137782,3.465097868302009
2,MLR,full,prediction,0,1,41,0.016960312835056182,0.013921661298802113,4.240555867058524
2,MLR,full,prediction,1,0,41,0.05689130977161284,0.05457876687231966,2.957202794304074
2,MLG,state_only,validation,0,1,46,0.10986798783567044,0.10986798783567042,2.208475744483921
2,MLG,state_only,validation,1,0,47,0.5366405914532555,0.5366405914532553,0.6224266982063248
2,MLG,state_market,validation,0,1,46,0.11086158145893496,0.10894876225043923,2.206550033065112
2,MLG,state_market,validation,1,0,47,0.5405437383689202,0.5507564237867035,0.618826004438011
2,MLG,state_duration,validation,0,1,46,0.08961703599710384,0.06660682302094327,2.8697903687261435
2,MLG,state_duration,validation,1,0,47,0.22727210944372211,0.23404863469061787,1.7247701371381734
2,MLG,state_market_restricted_duration,validation,0,1,46,0.21224502453972963,0.20710181277433418,1.647938260414895
2,MLG,state_market_restricted_duration,validation,1,0,47,0.3629926027545161,0.346368281165116,1.0442050188222374
2,MLG,full,validation,0,1,46,0.08934015215957354,0.06737169689611,2.8804866992794618
2,MLG,full,validation,1,0,47,0.232043706851734,0.23780598222608862,1.703862792469686
2,MLG,state_only,prediction,0,1,41,0.10986798783567042,0.10986798783567042,2.2084757444839216
2,MLG,state_only,prediction,1,0,41,0.5366405914532554,0.5366405914532553,0.6224266982063246
2,MLG,state_market,prediction,0,1,41,0.11283894378485451,0.10995698774172609,2.1913094251100684
2,MLG,state_market,prediction,1,0,41,0.5477933194273735,0.5510339749073925,0.6039760024502573
2,MLG,state_duration,prediction,0,1,41,0.09908819707496132,0.12398553157422684,2.7905699274056452
2,MLG,state_duration,prediction,1,0,41,0.18685710276081624,0.16071874788058738,1.9612313112116588
2,MLG,state_market_restricted_duration,prediction,0,1,41,0.22217324079660042,0.24415490310827664,1.6059890851217453
2,MLG,state_market_restricted_duration,prediction,1,0,41,0.39099492677237446,0.3904951832418393,0.965149666091354
2,MLG,full,prediction,0,1,41,0.10005664395338039,0.1121675986666302,2.7753907704018346
2,MLG,full,prediction,1,0,41,0.1856769084436221,0.165740283599352,1.9654343080859704
