MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,N_STATES,STATE_LAG,EXOG_LAG,N_KNOTS,SIGNIFICANCE_LEVEL,SELECTED_TERM_COUNT,SELECTED_TERMS,MAX_SELECTED_P_VALUE,ALL_TERMS_SIGNIFICANT,TERM_P_VALUES,INFERENCE_METHOD,SOURCE_MODEL,LOSS_FUNCTION,REGULARIZATION_C,SMOOTHING_LAMBDA,STATE_PENALTY_WEIGHT,MARKET_PENALTY_WEIGHT,DURATION_PENALTY_WEIGHT,MARKET_TO_STATE_PENALTY_RATIO,DURATION_TO_STATE_PENALTY_RATIO,DURATION_TO_MARKET_PENALTY_RATIO,TRAIN_ROWS,SPLIT,SPLIT_START,SPLIT_END,EVAL_ROWS
group_weighted_multinomial_logistic_gam,0.20100455521457922,0.9343915343915344,0.11074641709365544,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,1.0,0.5,1.0,2.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.19884632024998428,0.938150289017341,0.10524706295603625,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,1.0,0.5,1.0,2.0,2318,prediction,2017-01-03,2023-12-05,1730
group_weighted_multinomial_logistic_gam,0.20703024373164775,0.9343915343915344,0.11378466826714835,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,2.0,0.5,2.0,4.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.20844293441127307,0.938150289017341,0.11051662225549619,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,2.0,0.5,2.0,4.0,2318,prediction,2017-01-03,2023-12-05,1730
group_weighted_multinomial_logistic_gam,0.2187743816741404,0.9343915343915344,0.11890394754383105,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,4.0,0.5,4.0,8.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.2257303747861848,0.938150289017341,0.11984788391599346,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,4.0,0.5,4.0,8.0,2318,prediction,2017-01-03,2023-12-05,1730
group_weighted_multinomial_logistic_gam,0.23736418481141872,0.9343915343915344,0.12783955640727937,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,8.0,0.5,8.0,16.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.2526984737126141,0.938150289017341,0.1361703784408125,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,8.0,0.5,8.0,16.0,2318,prediction,2017-01-03,2023-12-05,1730
group_weighted_multinomial_logistic_gam,0.2010179670111741,0.9343915343915344,0.11076829231422328,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,1.0,1.0,1.0,1.0,1.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.19890676917768313,0.938150289017341,0.10527843691169045,2,0,0,4,0.05,2,LT11TRUU_LAG_0|DURATION_STATE_0,0.00953023805415049,True,"{""DBLCIX_LAG_0"": 0.37078376277403174, ""DURATION_STATE_0"": 5.424159019877753e-63, ""DURATION_STATE_1"": 0.12961186694828863, ""IBOXIG_LAG_0"": 0.29613090983149254, ""JPEICORE_LAG_0"": 0.12907029116621885, ""LBUTTRUU_LAG_0"": 0.665284992442226, ""LT11TRUU_LAG_0"": 0.00953023805415049, ""SPXT_LAG_0"": 0.3664500535094099, ""STATE_LAG_0"": 0.3738728778970263}",wald,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,1.0,1.0,1.0,1.0,1.0,2318,prediction,2017-01-03,2023-12-05,1730
