MODEL,LOG_LOSS,ACCURACY,BRIER_SCORE,N_STATES,STATE_LAG,EXOG_LAG,N_KNOTS,SIGNIFICANCE_LEVEL,SELECTED_TERM_COUNT,SELECTED_TERMS,MAX_SELECTED_P_VALUE,ALL_TERMS_SIGNIFICANT,TERM_P_VALUES,INFERENCE_METHOD,SOURCE_MODEL,LOSS_FUNCTION,REGULARIZATION_C,SMOOTHING_LAMBDA,STATE_PENALTY_WEIGHT,MARKET_PENALTY_WEIGHT,DURATION_PENALTY_WEIGHT,MARKET_TO_STATE_PENALTY_RATIO,DURATION_TO_STATE_PENALTY_RATIO,DURATION_TO_MARKET_PENALTY_RATIO,TRAIN_ROWS,SPLIT,SPLIT_START,SPLIT_END,EVAL_ROWS
group_weighted_multinomial_logistic_gam,0.5666970668252788,0.8084656084656084,0.3112210256225247,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,1.0,0.5,1.0,2.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.41116741553083747,0.8774566473988439,0.20645345663977524,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,1.0,0.5,1.0,2.0,2318,prediction,2017-01-03,2023-12-05,1730
group_weighted_multinomial_logistic_gam,0.5707190270348645,0.807936507936508,0.31252415231113984,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,2.0,0.5,2.0,4.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.4159867665441519,0.8739884393063584,0.20831614017413855,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,2.0,0.5,2.0,4.0,2318,prediction,2017-01-03,2023-12-05,1730
group_weighted_multinomial_logistic_gam,0.5750348293153567,0.8042328042328042,0.31395925663616286,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,4.0,0.5,4.0,8.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.4226545624878123,0.8728323699421965,0.2106535558181375,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,4.0,0.5,4.0,8.0,2318,prediction,2017-01-03,2023-12-05,1730
group_weighted_multinomial_logistic_gam,0.5790990379009512,0.8047619047619048,0.31565673676576556,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,8.0,0.5,8.0,16.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.43145581259369525,0.8710982658959537,0.2131071189851352,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,0.5,8.0,0.5,8.0,16.0,2318,prediction,2017-01-03,2023-12-05,1730
group_weighted_multinomial_logistic_gam,0.5671371097105438,0.8084656084656084,0.31118537296271226,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,1.0,1.0,1.0,1.0,1.0,2318,validation,2009-06-02,2016-12-30,1890
group_weighted_multinomial_logistic_gam,0.41009167000931634,0.8763005780346821,0.20600031495841628,4,0,0,4,0.05,11,STATE_LAG_0|SPXT_LAG_0|DBLCIX_LAG_0|IBOXIG_LAG_0|JPEICORE_LAG_0|LT11TRUU_LAG_0|LBUTTRUU_LAG_0|DURATION_STATE_0|DURATION_STATE_1|DURATION_STATE_2|DURATION_STATE_3,0.02,True,"{""DBLCIX_LAG_0"": 0.02, ""DURATION_STATE_0"": 0.02, ""DURATION_STATE_1"": 0.02, ""DURATION_STATE_2"": 0.02, ""DURATION_STATE_3"": 0.02, ""IBOXIG_LAG_0"": 0.02, ""JPEICORE_LAG_0"": 0.02, ""LBUTTRUU_LAG_0"": 0.02, ""LT11TRUU_LAG_0"": 0.02, ""SPXT_LAG_0"": 0.02, ""STATE_LAG_0"": 0.02}",regularized_bootstrap,multinomial_logistic_gam,multinomial_nll_plus_group_weighted_l2,0.01,100.0,1.0,1.0,1.0,1.0,1.0,1.0,2318,prediction,2017-01-03,2023-12-05,1730
