DATE,SPXT,DBLCIX,IBOXIG,JPEICORE,LT11TRUU,LBUTTRUU
2000-01-03,-0.00959,-0.00138,0.00021,0.00094,-0.01142,-0.00166
2000-01-04,-0.03906,-0.00509,-0.00105,-0.00741,0.00873,0.00065
2000-01-05,0.00201,-0.00771,0.0,-0.00179,-0.0099,-0.00065
2000-01-06,0.00116,-0.00261,-0.00084,-0.00236,0.0078,-0.00212
2000-01-07,0.02673,-0.00221,0.00021,0.00641,0.00555,-9e-05
2000-01-10,0.01115,0.01028,-0.00199,0.00085,-0.00346,-0.00065
2000-01-11,-0.01312,0.01842,-0.0041,-0.00905,-0.00995,-0.00074
2000-01-12,-0.00433,0.01552,-0.00147,-0.0037,-0.00178,0.00213
2000-01-13,0.0121,0.00716,0.00179,0.00644,0.00969,0.00018
2000-01-14,0.01061,0.02654,-0.00263,0.00142,-0.00436,-0.00231
2000-01-18,-0.00684,0.01564,-0.00127,-0.00161,-0.00422,-0.00176
2000-01-19,0.00056,0.00183,0.00063,0.00283,0.00322,-0.00037
2000-01-20,-0.00712,0.00024,-0.00095,-0.00094,-0.00161,0.00056
2000-01-21,-0.00292,-0.00415,0.00021,0.00198,0.00261,0.00204
2000-01-24,-0.02801,0.00245,0.00295,0.0032,0.00673,0.00139
2000-01-25,0.00605,0.00487,0.00074,-0.00282,0.00247,0.0024
2000-01-26,-0.00419,-0.01205,0.00126,0.00113,0.00683,0.00129
2000-01-27,-0.00387,-0.0058,-0.00032,-0.00132,0.007,0.00037
2000-01-28,-0.02775,-0.00446,0.00074,-0.00775,0.01023,-0.0011
2000-01-31,0.02491,0.00731,-0.00242,-0.00361,-0.00693,0.00496
2000-02-01,0.01057,0.01549,0.00063,0.00371,0.00666,-0.00082
2000-02-02,-2e-05,-0.01247,-0.00211,0.00133,0.00736,0.00603
2000-02-03,0.01128,0.00668,0.00851,0.00858,0.01221,0.00346
2000-02-04,-0.00039,0.02038,-0.00052,0.00888,-0.00326,-0.00209
2000-02-07,-7e-05,-0.00781,-0.00356,0.00464,-0.00847,-0.00027
2000-02-08,0.01226,-0.01074,0.00105,0.00527,0.01288,0.00018
2000-02-09,-0.02082,0.01651,-0.002,-0.00157,-0.01002,-0.00182
2000-02-10,0.00363,0.0153,-0.0039,0.00433,-0.00975,-9e-05
2000-02-11,-0.02109,-0.00254,0.00148,-0.0012,0.00534,0.00036
2000-02-14,0.00207,0.01324,0.00431,0.00395,0.00932,0.00055
2000-02-15,0.00868,-0.00375,-0.00442,0.00567,-0.00349,0.00109
2000-02-16,-0.01013,0.00544,0.00053,-0.00036,-0.00116,-0.00055
2000-02-17,0.00044,-0.01475,0.00063,-0.00146,0.00528,-0.00027
2000-02-18,-0.03085,-0.00249,0.00368,-0.00174,0.00834,0.00191
2000-02-22,0.00452,0.00456,0.00052,0.00027,0.01112,0.00154
2000-02-23,0.00637,-0.00112,0.00126,0.00329,-0.00742,-0.001
2000-02-24,-0.00533,0.00519,0.00241,0.00018,0.00312,0.00127
2000-02-25,-0.01485,-0.001,0.00042,0.004,-0.0062,-0.00036
2000-02-28,0.01108,-0.0049,-0.00366,-0.00036,-0.00445,-0.00045
2000-02-29,0.01354,0.01037,0.00136,0.0048,0.00742,0.00027
2000-03-01,0.00952,0.02477,0.0024,0.00235,-0.00219,0.00073
2000-03-02,0.00188,-0.00183,0.00146,0.00862,0.00245,0.00199
2000-03-03,0.01965,-0.00224,0.00208,0.0033,0.00452,0.00081
2000-03-06,-0.01266,0.01345,-0.00229,0.0008,-0.00353,0.00045
2000-03-07,-0.02593,0.03363,-0.00073,0.00444,-0.0001,0.00172
2000-03-08,0.00825,-0.05163,-0.00188,0.00574,-0.00172,0.00018
2000-03-09,0.0253,0.00701,-0.00052,0.00132,0.00036,0.00072
2000-03-10,-0.00473,-0.00816,-0.00398,-0.00176,-0.00402,-0.00045
2000-03-13,-0.00812,0.00604,0.00105,-0.00468,0.00188,0.00117
2000-03-14,-0.01783,-0.00213,0.00147,0.00106,0.00775,0.00162
2000-03-15,0.02403,-0.01553,0.00356,-0.00532,0.00475,0.00054
2000-03-16,0.04667,0.00344,0.00614,0.00532,0.00329,0.00081
2000-03-17,0.00411,-0.00134,0.00218,0.00432,0.00502,0.00081
2000-03-20,-0.00535,-0.03474,-0.00021,9e-05,0.00153,0.00099
2000-03-21,0.02524,0.00661,-0.00124,0.00317,0.00255,0.00161
2000-03-22,0.00454,-0.00547,-0.00145,0.00682,-0.0001,0.00358
2000-03-23,0.01765,-0.00471,0.00652,-0.00341,0.00548,0.00294
2000-03-24,7e-05,0.01257,-0.00393,0.00105,-0.01054,0.00036
2000-03-27,-0.00236,-0.00606,-0.00124,0.00035,0.00107,0.00036
2000-03-28,-0.01063,-0.01405,-0.00031,-0.00052,5e-05,0.00178
2000-03-29,0.00066,-0.01271,-0.00114,-0.00079,0.0001,0.00089
2000-03-30,-0.01374,0.00886,0.00631,-0.01374,0.01234,0.00398
2000-03-31,0.00714,0.00702,0.00258,0.00398,0.00579,0.00124
2000-04-03,0.00493,-0.01316,-0.00021,-0.00283,0.00181,0.00317
2000-04-04,-0.00746,-0.0213,0.00421,-0.0114,0.00957,0.00123
2000-04-05,-0.00487,0.00884,0.0,-0.00449,-0.00393,9e-05
2000-04-06,0.00952,-0.00802,-0.00051,0.00556,0.00105,-0.00088
2000-04-07,0.00994,-0.01119,0.00328,0.00473,0.0105,0.00097
2000-04-10,-0.00787,-0.02701,-0.00164,0.00151,0.00143,0.00114
2000-04-11,-0.00253,0.00202,-0.00236,-0.00598,-0.01113,0.00053
2000-04-12,-0.02245,0.03385,-0.0035,0.00089,-0.00769,-0.00211
2000-04-13,-0.01834,-0.0017,0.00267,0.0017,0.0047,-0.00053
2000-04-14,-0.06004,-0.01162,-0.00175,-0.00851,0.0012,0.00325
2000-04-17,0.03255,0.00745,-0.00299,-0.01013,-0.01486,0.00166
2000-04-18,0.02831,0.00525,0.00237,0.00643,0.00106,0.0007
2000-04-19,-0.00983,0.02903,0.00072,-0.00018,0.0099,0.00035
2000-04-20,0.00495,-0.00227,0.00318,0.00135,0.00125,0.00017
2000-04-24,-0.00326,0.003,-0.00133,-0.00353,-0.00395,0.00131
2000-04-25,0.03274,-0.01102,-0.00473,0.00325,-0.00679,-0.0007
2000-04-26,-0.01112,-0.01616,-0.0001,-0.00244,-0.00116,0.00017
2000-04-27,0.00279,0.01139,-0.00548,-0.00344,-0.00705,0.00148
